species;genus;family;Order;class
Garcinia subfalcata;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Garcinia subtilinervis;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Garcinia tanzaniensis;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Garcinia tetrandra;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Garcinia teysmanniana;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Garcinia thorelii;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Garcinia thouvenotii;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Garcinia tonkinensis;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Garcinia torensis;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Garcinia travancorica;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Garcinia treubii;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Garcinia tsimatimia;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Garcinia tuberculata;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Garcinia umbellulata;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Garcinia umbonata;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Garcinia valetoniana;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Garcinia venulosa;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Garcinia versteegii;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Garcinia verticillata;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Garcinia vidalii;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Garcinia vidua;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Garcinia vieillardii;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Garcinia viridiflora;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Garcinia vitiensis;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Garcinia volkensii;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Garcinia vriesiana;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Garcinia warburgiana;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Garcinia wightii;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Garcinia wollastonii;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Garcinia xylosperma;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Garcinia zeylanica;Garcinia;Clusiaceae;Malpighiales;Magnoliopsida
Allanblackia floribunda;Allanblackia;Clusiaceae;Malpighiales;Magnoliopsida
Allanblackia gabonensis;Allanblackia;Clusiaceae;Malpighiales;Magnoliopsida
Allanblackia kimbiliensis;Allanblackia;Clusiaceae;Malpighiales;Magnoliopsida
Allanblackia kisonghi;Allanblackia;Clusiaceae;Malpighiales;Magnoliopsida
Allanblackia marienii;Allanblackia;Clusiaceae;Malpighiales;Magnoliopsida
Allanblackia staneriana;Allanblackia;Clusiaceae;Malpighiales;Magnoliopsida
Allanblackia stuhlmannii;Allanblackia;Clusiaceae;Malpighiales;Magnoliopsida
Allanblackia ulugurensis;Allanblackia;Clusiaceae;Malpighiales;Magnoliopsida
Platonia insignis;Platonia;Clusiaceae;Malpighiales;Magnoliopsida
Moronobea coccinea;Moronobea;Clusiaceae;Malpighiales;Magnoliopsida
Moronobea ptaritepuiana;Moronobea;Clusiaceae;Malpighiales;Magnoliopsida
Moronobea jenmanii;Moronobea;Clusiaceae;Malpighiales;Magnoliopsida
Moronobea riparia;Moronobea;Clusiaceae;Malpighiales;Magnoliopsida
Moronobea candida;Moronobea;Clusiaceae;Malpighiales;Magnoliopsida
Moronobea intermedia;Moronobea;Clusiaceae;Malpighiales;Magnoliopsida
Moronobea pulchra;Moronobea;Clusiaceae;Malpighiales;Magnoliopsida
Symphonia gymnoclada;Symphonia;Clusiaceae;Malpighiales;Magnoliopsida
Symphonia fasciculata;Symphonia;Clusiaceae;Malpighiales;Magnoliopsida
Symphonia globulifera;Symphonia;Clusiaceae;Malpighiales;Magnoliopsida
Symphonia urophylla;Symphonia;Clusiaceae;Malpighiales;Magnoliopsida
Symphonia tanalensis;Symphonia;Clusiaceae;Malpighiales;Magnoliopsida
Symphonia louvelii;Symphonia;Clusiaceae;Malpighiales;Magnoliopsida
Symphonia eugenioides;Symphonia;Clusiaceae;Malpighiales;Magnoliopsida
Symphonia lepidocarpa;Symphonia;Clusiaceae;Malpighiales;Magnoliopsida
Symphonia linearis;Symphonia;Clusiaceae;Malpighiales;Magnoliopsida
Symphonia microphylla;Symphonia;Clusiaceae;Malpighiales;Magnoliopsida
Symphonia nectarifera;Symphonia;Clusiaceae;Malpighiales;Magnoliopsida
Symphonia oligantha;Symphonia;Clusiaceae;Malpighiales;Magnoliopsida
Symphonia pauciflora;Symphonia;Clusiaceae;Malpighiales;Magnoliopsida
Symphonia sessiliflora;Symphonia;Clusiaceae;Malpighiales;Magnoliopsida
Symphonia verrucosa;Symphonia;Clusiaceae;Malpighiales;Magnoliopsida
Lorostemon colombianus;Lorostemon;Clusiaceae;Malpighiales;Magnoliopsida
Lorostemon coelhoi;Lorostemon;Clusiaceae;Malpighiales;Magnoliopsida
Lorostemon bombaciflorum;Lorostemon;Clusiaceae;Malpighiales;Magnoliopsida
Pentadesma butyracea;Pentadesma;Clusiaceae;Malpighiales;Magnoliopsida
Pentadesma grandifolia;Pentadesma;Clusiaceae;Malpighiales;Magnoliopsida
Clusia amazonica;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia gundlachii;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia cylindrica;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia obovata;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia palmicida;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia grandiflora;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia platystigma;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia major;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia rosea;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia insignis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia viscida;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia loretensis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia hammeliana;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia quadrangula;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia torresii;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia scrobiculata;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia schomburgkiana;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia columnaris;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia aripoensis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia articulata;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia sipapoana;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia gardneri;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia burle-marxii;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia fockeana;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia tocuchensis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia studartiana;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia hilariana;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia lanceolata;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia criuva;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia clusioides;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia pusilla;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia renggerioides;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia leprantha;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia panapanari;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia paralicola;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia weddelliana;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia burchellii;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia diamantina;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia fluminensis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia spiritu-sanctensis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia pernambucensis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia osseocarpa;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia fructiangusta;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia lineata;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia liesneri;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia croatii;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia odorata;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia uvitana;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia longipetiolata;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia divaricata;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia alata;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia minor;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia pallida;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia celiae;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia orthoneura;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia congestiflora;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia nemorosa;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia triflora;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia multiflora;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia cupulata;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia elliptica;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia melchiorii;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia ducu;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia palmana;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia coclensis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia stenophylla;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia salvinii;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia intertexta;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia poeppigiana;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia guatemalensis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia hexacarpa;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia brachystyla;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia loranthacea;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia havetioides;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia aemygdioi;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia alainii;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia amabilis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia androphora;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia annularis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia araracuarae;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia asymmetrica;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia aymardii;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia bernardoi;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia belizensis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia botryoidea;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia brachycarpa;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia bracteosa;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia brongniartiana;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia caicedoi;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia cajamarcensis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia cajambrensis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia calimae;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia candelabrum;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia carachensis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia cardonae;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia carinata;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia cassinioides;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia caudata;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia centricupula;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia cerroana;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia chusqueae;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia clarendonensis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia cochlanthera;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia cochliformis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia cochlitheca;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia comans;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia coremandra;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia crassifolia;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia crassipetiolata;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia crenata;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia erubescens;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia cundinamarcensis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia cuneata;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia cuneifolia;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia dardanoi;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia decussata;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia densinervia;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia diguensis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia dixonii;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia domingensis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia drouetiana;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia duartei;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia ducuoides;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia duidae;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia dukei;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia ellipticifolia;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia elongata;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia epiphytica;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia eugenioides;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia fabiolae;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia firmifolia;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia fistulosa;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia flavida;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia fragrans;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia garcibarrigae;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia gaudichaudii;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia globosa;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia glomerata;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia grammadenioides;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia gratula;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia guaviarensis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia hachensis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia haughtii;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia huberi;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia hydrogera;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia hylaeae;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia imbricata;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia immersa;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia inesiana;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia kanukuana;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia latifolia;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia latipes;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia laurifolia;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia laxiflora;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia lechleri;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia lehmannii;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia leptanthera;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia lopezii;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia lunanthera;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia lundellii;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia lusoria;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia macropoda;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia magnifolia;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia maguireana;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia mamillata;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia mangle;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia martiana;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia massoniana;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia mayana;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia microstemon;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia minutiflora;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia mirandensis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia moaensis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia mocoensis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia modesta;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia monantha;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia multilineata;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia mutica;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia myriandra;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia nervosa;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia nutans;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia obdeltifolia;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia octopetala;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia opaca;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia organensis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia ovalis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia pachamamae;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia pachyphylla;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia paisarum;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia parvifolia;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia pavonii;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia penduliflora;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia pentandra;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia pentarhyncha;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia petiolaris;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia phelpsiae;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia phelpsiana;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia picardae;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia plukenetii;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia plumeri;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia plurivalvis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia polyandra;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia polyantha;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia polysepala;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia polystigma;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia popayenensis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia portlandiana;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia pseudochina;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia pseudohavetia;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia pseudomangle;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia ptaritepuiensis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia pulcherrima;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia purpurea;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia radiata;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia radicans;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia ramosa;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia riedeliana;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia robusta;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia rosiflora;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia rotundata;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia rotundifolia;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia sandiensis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia savannarum;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia schomburgkii;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia schultesii;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia sellowiana;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia skotaster;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia spathulifolia;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia steyermarkii;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia stylosa;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia tabulamontana;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia tarmensis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia tenuifolia;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia tequendamae;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia ternstroemioides;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia tetra-trianthera;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia tetragona;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia thurifera;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia trochiformis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia troncosii;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia uniflora;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia veneralensis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia venulosa;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia venusta;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia verapazensis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia vittata;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia volubilis;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Clusia weberbaueri;Clusia;Clusiaceae;Malpighiales;Magnoliopsida
Chrysochlamys saldanhae;Chrysochlamys;Clusiaceae;Malpighiales;Magnoliopsida
Chrysochlamys tenuis;Chrysochlamys;Clusiaceae;Malpighiales;Magnoliopsida
Chrysochlamys membranacea;Chrysochlamys;Clusiaceae;Malpighiales;Magnoliopsida
Chrysochlamys eclipes;Chrysochlamys;Clusiaceae;Malpighiales;Magnoliopsida
Chrysochlamys allenii;Chrysochlamys;Clusiaceae;Malpighiales;Magnoliopsida
Chrysochlamys silvicola;Chrysochlamys;Clusiaceae;Malpighiales;Magnoliopsida
Chrysochlamys glauca;Chrysochlamys;Clusiaceae;Malpighiales;Magnoliopsida
Chrysochlamys skutchii;Chrysochlamys;Clusiaceae;Malpighiales;Magnoliopsida
Chrysochlamys grandifolia;Chrysochlamys;Clusiaceae;Malpighiales;Magnoliopsida
Chrysochlamys cuneata;Chrysochlamys;Clusiaceae;Malpighiales;Magnoliopsida
Chrysochlamys dependens;Chrysochlamys;Clusiaceae;Malpighiales;Magnoliopsida
Chrysochlamys alterninervia;Chrysochlamys;Clusiaceae;Malpighiales;Magnoliopsida
Chrysochlamys bracteolata;Chrysochlamys;Clusiaceae;Malpighiales;Magnoliopsida
Chrysochlamys caribaea;Chrysochlamys;Clusiaceae;Malpighiales;Magnoliopsida
Chrysochlamys colombiana;Chrysochlamys;Clusiaceae;Malpighiales;Magnoliopsida
Chrysochlamys floribunda;Chrysochlamys;Clusiaceae;Malpighiales;Magnoliopsida
Chrysochlamys goudotii;Chrysochlamys;Clusiaceae;Malpighiales;Magnoliopsida
Chrysochlamys laxa;Chrysochlamys;Clusiaceae;Malpighiales;Magnoliopsida
Chrysochlamys macrophylla;Chrysochlamys;Clusiaceae;Malpighiales;Magnoliopsida
Chrysochlamys membrillensis;Chrysochlamys;Clusiaceae;Malpighiales;Magnoliopsida
Chrysochlamys micrantha;Chrysochlamys;Clusiaceae;Malpighiales;Magnoliopsida
Chrysochlamys myrcioides;Chrysochlamys;Clusiaceae;Malpighiales;Magnoliopsida
Chrysochlamys nicaraguensis;Chrysochlamys;Clusiaceae;Malpighiales;Magnoliopsida
Chrysochlamys pavonii;Chrysochlamys;Clusiaceae;Malpighiales;Magnoliopsida
Chrysochlamys psychotriifolia;Chrysochlamys;Clusiaceae;Malpighiales;Magnoliopsida
Chrysochlamys tenuifolia;Chrysochlamys;Clusiaceae;Malpighiales;Magnoliopsida
Chrysochlamys ulei;Chrysochlamys;Clusiaceae;Malpighiales;Magnoliopsida
Chrysochlamys weberbaueri;Chrysochlamys;Clusiaceae;Malpighiales;Magnoliopsida
Tovomita weddeliana;Tovomita;Clusiaceae;Malpighiales;Magnoliopsida
Tovomita croatii;Tovomita;Clusiaceae;Malpighiales;Magnoliopsida
Tovomita clarkii;Tovomita;Clusiaceae;Malpighiales;Magnoliopsida
Tovomita longifolia;Tovomita;Clusiaceae;Malpighiales;Magnoliopsida
Tovomita calophyllophylla;Tovomita;Clusiaceae;Malpighiales;Magnoliopsida
Tovomita macrophylla;Tovomita;Clusiaceae;Malpighiales;Magnoliopsida
Tovomita spruceana;Tovomita;Clusiaceae;Malpighiales;Magnoliopsida
Tovomita brasiliensis;Tovomita;Clusiaceae;Malpighiales;Magnoliopsida
Tovomita acutiflora;Tovomita;Clusiaceae;Malpighiales;Magnoliopsida
